ID,Name,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
461,Garlic NZ Per Kg,,38.95,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/garlic.jpg,,,,,,,,,0
462,Garlic USA Per Kg,,30,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/garlic-1.jpg,,,,,,,,,0
463,Kumara Red Per Kg,,3.95,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/city_produce_kumara_red.jpg,,,,,,,,,0
464,Kumara Orange Per Kg,,4.95,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/SWEET-POTATOES-–-orange.jpg,,,,,,,,,0
465,Kumara Purple Per Kg,,7.95,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/purple-kumara.jpg,,,,,,,,,0
466,Potatoes Agria - 5 Kg,,9,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/potato-bag.jpg,,,,,,,,,0
467,Potatoes Moonlight - 10Kg Bag (TAG-1),,10,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/potato-1.jpg,,,,,,,,,0
468,Onion Brown - 10kg Bag,,10,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/red-onion-bag.jpg,,,,,,,,,0
469,Onion Red - 10kg Bag,,14,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/11_onion_bag_red_big_6.jpg,,,,,,,,,0
470,White Washed Potatoes - Per Kg,,2.95,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/potatoes-washed.jpg,,,,,,,,,0
471,Red Washed Potatoes - Per Kg,,2.49,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/potatoes-desiree-vegetables_512x.jpg,,,,,,,,,0
472,Milk 2ltr (cow & gate) - Each,,3.5,Dairy,,,http://localhost/vege-star/wp-content/uploads/2021/05/milk.jpg,,,,,,,,,0
473,Box - Seasonal Fruit (Regular),,55,Fruit &amp; Veg Boxes,,,http://localhost/vege-star/wp-content/uploads/2021/05/BOX-4.jpg,,,,,,,,,0
474,Box - Seasonal Fruit (Large),,70,Fruit &amp; Veg Boxes,,,http://localhost/vege-star/wp-content/uploads/2021/05/BOX-5.jpg,,,,,,,,,0
490,Box - Seasonal Fruit (Small),,35,Fruit &amp; Veg Boxes,,,http://localhost/vege-star/wp-content/uploads/2021/05/fruit_box1_copy.jpg,,,,,,,,,0
491,Box - Vegetables (Regular),,55,Fruit &amp; Veg Boxes,,,http://localhost/vege-star/wp-content/uploads/2021/05/vege-box-1.png,,,,,,,,,0
492,Box - Vegetables (Large),,70,Fruit &amp; Veg Boxes,,,http://localhost/vege-star/wp-content/uploads/2021/05/vege-box-3.png,,,,,,,,,0
493,Box- Fruit & Veg - Mix (Small),,35,Fruit &amp; Veg Boxes,,,http://localhost/vege-star/wp-content/uploads/2021/05/vege-box-1.png,,,,,,,,,0
494,Box - Fruit & Veg - Mix (Regular),,55,Fruit &amp; Veg Boxes,,,http://localhost/vege-star/wp-content/uploads/2021/05/mix-box-2.png,,,,,,,,,0
495,Box -Fruit & Veg - Mix (Large),,70,Fruit &amp; Veg Boxes,,,http://localhost/vege-star/wp-content/uploads/2021/05/mix-box-1.jpg,,,,,,,,,0
496,Figs - 2 pack,,5,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/fig.jpeg,,,,,,,,,0
497,Nz Plums - Per Kg,,4.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/plum-1.jpg,,,,,,,,,0
498,Persimmons - Per Kg,,5.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/persimmons-fruit_512x.jpg,,,,,,,,,0
499,Pineapple - Gold (Half),,2,Fruits > Melons &amp; Pineapples,,,http://localhost/vege-star/wp-content/uploads/2021/05/pineapple-gold-half-fruit_512x.jpg,,,,,,,,,0
500,Mung Bean Sprouts (200gm) - Each,,1.49,"Vegetables > Herbs\, Sprouts and Chillies",,,http://localhost/vege-star/wp-content/uploads/2021/05/mung-beans.jpg,,,,,,,,,0
501,Alfalfa Sprouts (100gm) - Each,,1.8,"Vegetables > Herbs\, Sprouts and Chillies",,,http://localhost/vege-star/wp-content/uploads/2021/05/alfa-sprout.jpg,,,,,,,,,0
502,Alfalfa & Radish Sprouts (100gm) - Each,,1.8,"Vegetables > Herbs\, Sprouts and Chillies",,,http://localhost/vege-star/wp-content/uploads/2021/05/alfa-Radish.jpg,,,,,,,,,0
503,Mixed Bean Combo (180gm) - Each,,1.8,"Vegetables > Herbs\, Sprouts and Chillies",,,http://localhost/vege-star/wp-content/uploads/2021/05/mixed-beans.jpg,,,,,,,,,0
504,Sandwich Pack (120gm) - Each,,2.39,"Vegetables > Herbs\, Sprouts and Chillies",,,http://localhost/vege-star/wp-content/uploads/2021/05/sanwich.jpg,,,,,,,,,0
519,Snowpea Shoots (100gm) - Each,,2.5,"Vegetables > Herbs\, Sprouts and Chillies",,,http://localhost/vege-star/wp-content/uploads/2021/05/snowpea.jpg,,,,,,,,,0
520,FRESH NZ PEAS - Per Kg,,10.95,Vegetables > Beans &amp; Peas,,,http://localhost/vege-star/wp-content/uploads/2021/05/peas.jpg,,,,,,,,,0
521,Snow Peas (100gm) - Each,,3,Vegetables > Beans &amp; Peas,,,http://localhost/vege-star/wp-content/uploads/2021/05/snowpeas-300x200-1.jpg,,,,,,,,,0
522,Potatoes Agria - Loose Per Kg,,2.95,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/potato.jpg,,,,,,,,,0
523,Potatoes ILAM HARDY - Loose Per Kg,,1.95,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/agria.jpg,,,,,,,,,0
524,Apricots Per Kg,,6.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/apricot.jpg,,,,,,,,,0
525,Bread - Grain Toast - Coupland,,1.5,Dairy,,,http://localhost/vege-star/wp-content/uploads/2021/05/bread-3.png,,,,,,,,,0
526,Potatoes -Agria 10Kg (Tag-1),,12,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/potato-bag.jpg,,,,,,,,,0
527,Cream 2L - Anchor,,13.99,Dairy,,,http://localhost/vege-star/wp-content/uploads/2021/05/cream.jpg,,,,,,,,,0
528,Pickling Onion Per Kg,,1.99,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/pickling-onion-350x232-1.jpg,,,,,,,,,0
529,Yams Per Kg,,9.95,Vegetables > Greens &amp; Others,,,http://localhost/vege-star/wp-content/uploads/2021/05/yams.png,,,,,,,,,0
530,Carrots Bunch (Baby),,3,Vegetables > Greens &amp; Others,,,http://localhost/vege-star/wp-content/uploads/2021/05/carrot-b.png,,,,,,,,,0
531,Avocadoes - Reed (Sprayfree),,2,Fruits > Avocados &amp; Bananas,,,http://localhost/vege-star/wp-content/uploads/2021/05/reed-avo.png,,,,,,,,,0
532,Lettuce - Green Frill - Each,,2.5,Vegetables > Salad Mixes &amp; Lettuce,,,http://localhost/vege-star/wp-content/uploads/2021/05/292823C7-6815-4C78-884D-EE5B47B378F1.jpeg,,,,,,,,,0
545,Lettuce - Red Frill - Each,,1.99,Vegetables > Salad Mixes &amp; Lettuce,,,http://localhost/vege-star/wp-content/uploads/2021/05/D71AC0A9-4EFE-446D-8475-D91977B32F43.jpeg,,,,,,,,,0
